hour,rentals
418557.0,39.0
418558.0,29.0
418559.0,36.0
418560.0,27.0
418561.0,14.0
418562.0,10.0
418563.0,13.0
418564.0,11.0
418565.0,15.0
418566.0,21.0
418567.0,33.0
418568.0,36.0
418569.0,34.0
418570.0,38.0
418571.0,44.0
418572.0,60.0
418573.0,54.0
418574.0,53.0
418575.0,55.0
418576.0,62.0
418577.0,65.0
418578.0,57.0
418579.0,42.0
418580.0,42.0
418581.0,20.0
418582.0,13.0
418583.0,12.0
418584.0,3.0
418585.0,2.0
418586.0,4.0
418587.0,10.0
418588.0,25.0
418589.0,54.0
418590.0,16.0
418591.0,0.0
418592.0,0.0
418593.0,0.0
418594.0,0.0
418595.0,0.0
418596.0,0.0
418597.0,0.0
418598.0,3.0
418599.0,77.0
418600.0,85.0
418601.0,78.0
418602.0,68.0
418603.0,56.0
418604.0,43.0
418605.0,41.0
418606.0,23.0
418607.0,21.0
418608.0,15.0
418609.0,7.0
418610.0,6.0
418611.0,11.0
418612.0,16.0
418613.0,21.0
418614.0,25.0
418615.0,19.0
418616.0,39.0
418617.0,36.0
418618.0,60.0
418619.0,54.0
418620.0,51.0
418621.0,53.0
418622.0,49.0
418623.0,63.0
418624.0,73.0
418625.0,67.0
418626.0,46.0
418627.0,38.0
418628.0,28.0
418629.0,22.0
418630.0,18.0
418631.0,5.0
418632.0,6.0
418633.0,1.0
418634.0,6.0
418635.0,21.0
418636.0,37.0
418637.0,52.0
418638.0,58.0
418639.0,60.0
418640.0,41.0
418641.0,48.0
418642.0,49.0
418643.0,48.0
418644.0,40.0
418645.0,1.0
418646.0,0.0
418647.0,18.0
418648.0,96.0
418649.0,80.0
418650.0,58.0
418651.0,41.0
418652.0,24.0
418653.0,13.0
418654.0,17.0
418655.0,3.0
418656.0,4.0
418657.0,3.0
418658.0,5.0
418659.0,16.0
418660.0,38.0
418661.0,71.0
418662.0,73.0
418663.0,71.0
418664.0,45.0
418665.0,31.0
418666.0,51.0
418667.0,48.0
418668.0,51.0
418669.0,59.0
418670.0,74.0
418671.0,79.0
418672.0,94.0
418673.0,93.0
418674.0,54.0
418675.0,56.0
418676.0,33.0
418677.0,21.0
418678.0,15.0
418679.0,8.0
418680.0,9.0
418681.0,3.0
418682.0,9.0
418683.0,17.0
418684.0,30.0
418685.0,67.0
418686.0,50.0
418687.0,53.0
418688.0,61.0
418689.0,53.0
418690.0,70.0
418691.0,45.0
418692.0,57.0
418693.0,55.0
418694.0,75.0
418695.0,87.0
418696.0,96.0
418697.0,94.0
418698.0,76.0
418699.0,63.0
418700.0,54.0
418701.0,45.0
418702.0,30.0
418703.0,20.0
418704.0,17.0
418705.0,10.0
418706.0,16.0
418707.0,13.0
418708.0,22.0
418709.0,17.0
418710.0,53.0
418711.0,58.0
418712.0,62.0
418713.0,59.0
418714.0,68.0
418715.0,63.0
418716.0,69.0
418717.0,70.0
418718.0,62.0
418719.0,83.0
418720.0,90.0
418721.0,83.0
418722.0,87.0
418723.0,54.0
418724.0,62.0
418725.0,40.0
